date,Ask
2022-03-23 18:48:27.658,4479.1
2022-03-23 18:48:28.364,4479.09
2022-03-23 18:48:28.820,4479.58
2022-03-23 18:48:29.521,4479.54
2022-03-23 18:48:29.774,4479.57
2022-03-23 18:48:30.285,4479.37
2022-03-23 18:48:30.888,4479.34
2022-03-23 18:48:32.753,4479.52
2022-03-23 18:48:33.292,4479.59
2022-03-23 18:48:33.650,4479.64
2022-03-23 18:48:34.172,4479.56
2022-03-23 18:48:34.879,4479.6
2022-03-23 18:48:35.493,4479.56
2022-03-23 18:48:35.802,4479.59
2022-03-23 18:48:36.367,4479.57
2022-03-23 18:48:36.998,4479.34
2022-03-23 18:48:37.450,4479.36
2022-03-23 18:48:37.719,4479.35
2022-03-23 18:48:38.449,4479.57
2022-03-23 18:48:38.672,4479.57
2022-03-23 18:48:40.172,4479.4
2022-03-23 18:48:41.647,4479.61
2022-03-23 18:48:44.023,4479.84
2022-03-23 18:48:44.473,4479.84
2022-03-23 18:48:45.007,4480.27
2022-03-23 18:48:47.531,4480.1
2022-03-23 18:48:47.883,4480.09
2022-03-23 18:48:48.237,4480.11
2022-03-23 18:48:48.671,4480.09
2022-03-23 18:48:49.332,4480.29
2022-03-23 18:48:50.214,4480.32
2022-03-23 18:48:54.280,4480.32
2022-03-23 18:48:55.770,4480.35
2022-03-23 18:48:56.830,4480.35
2022-03-23 18:48:57.481,4480.85
2022-03-23 18:48:57.810,4480.83
2022-03-23 18:48:59.167,4480.76
2022-03-23 18:48:59.947,4480.85
2022-03-23 18:49:00.363,4481.09
2022-03-23 18:49:01.478,4480.35
2022-03-23 18:49:02.496,4480.38
2022-03-23 18:49:02.819,4480.32
2022-03-23 18:49:03.527,4480.08
2022-03-23 18:49:04.877,4480.07
2022-03-23 18:49:05.484,4480.35
2022-03-23 18:49:05.814,4480.56
2022-03-23 18:49:06.532,4480.56
2022-03-23 18:49:06.952,4480.1
2022-03-23 18:49:07.431,4480.1
2022-03-23 18:49:11.871,4480.33
2022-03-23 18:49:12.451,4480.34
2022-03-23 18:49:13.022,4480.36
2022-03-23 18:49:13.161,4480.33
2022-03-23 18:49:14.964,4480.61
2022-03-23 18:49:15.381,4480.84
2022-03-23 18:49:15.877,4480.84
2022-03-23 18:49:16.498,4480.82
2022-03-23 18:49:17.292,4480.82
2022-03-23 18:49:18.377,4480.54
2022-03-23 18:49:19.481,4480.58
2022-03-23 18:49:19.755,4480.57
2022-03-23 18:49:20.277,4480.71
2022-03-23 18:49:20.866,4480.86
2022-03-23 18:49:21.470,4480.83
2022-03-23 18:49:23.975,4480.85
2022-03-23 18:49:25.500,4480.82
2022-03-23 18:49:26.860,4480.86
2022-03-23 18:49:27.517,4481.04
2022-03-23 18:49:27.728,4481.07
2022-03-23 18:49:28.793,4481.11
2022-03-23 18:49:29.838,4481.1
2022-03-23 18:49:30.991,4481.1
2022-03-23 18:49:31.138,4481.16
2022-03-23 18:49:31.883,4481.82
2022-03-23 18:49:32.818,4481.58
2022-03-23 18:49:33.464,4481.6
2022-03-23 18:49:33.955,4481.61
2022-03-23 18:49:34.487,4481.61
2022-03-23 18:49:34.798,4481.85
2022-03-23 18:49:35.817,4481.56
2022-03-23 18:49:37.517,4481.6
2022-03-23 18:49:37.994,4481.6
2022-03-23 18:49:38.475,4481.61
2022-03-23 18:49:39.989,4481.58
2022-03-23 18:49:40.530,4481.34
2022-03-23 18:49:40.986,4481.11
2022-03-23 18:49:43.834,4481.31
2022-03-23 18:49:44.199,4481.33
2022-03-23 18:49:44.923,4481.31
2022-03-23 18:49:45.150,4481.34
2022-03-23 18:49:45.876,4481.33
2022-03-23 18:49:47.507,4481.09
2022-03-23 18:49:47.940,4481.13
2022-03-23 18:49:48.467,4481.1
2022-03-23 18:49:49.015,4481.11
2022-03-23 18:49:49.369,4481.1
2022-03-23 18:49:50.489,4481.08
2022-03-23 18:49:50.670,4481.09
2022-03-23 18:49:53.995,4480.83
